,Episode,Exit Code,Exit Code Decomp,Total Success Decomp,Total Success Orig,Experiment,LLM,Temp,Domain Exp,Scene Exp,Domain Qry,Scene Qry,Time Domain,Time Prune,Time Problem,Time Decomp,Total LLM Time,Subgoals,Completed Subgoals,Plan Time,Cost,Node Expanded,Plan Time Decomp,Plan Time Sub-P,Node Expanded Decomp,Node Expanded Sub-P,Cost Decomp,Cost Sub-P,GT Cost,Items Keep
0,0,2,2,0,0,['all'],gpt-4o,0.0,exhousework,exhome,housework,home,10.43366003036499,1.1442701816558838,9.819464206695557,3.9006335735321045,25.298027992248535,4,0,0.0,0,0,0,[],0,[],0,[],16,"('food', 'microwave', 'desk', 'water_bottle', 'eggs', 'egg_container')"
1,1,2,2,0,0,['all'],gpt-4o,0.0,exhousework,exhome,housework,home,8.770127296447754,1.2384531497955322,14.709796905517578,19.595263481140137,44.313640832901,4,0,0.0,0,0,0,[],0,[],0,[],16,"('food', 'microwave', 'desk', 'water_bottle', 'eggs', 'egg_container')"
