,Episode,Exit Code,Exit Code Decomp,Total Success Decomp,Total Success Orig,Experiment,LLM,Temp,Domain Exp,Scene Exp,Domain Qry,Scene Qry,Time Domain,Time Prune,Time Problem,Time Decomp,Total LLM Time,Subgoals,Completed Subgoals,Plan Time,Cost,Node Expanded,Plan Time Decomp,Plan Time Sub-P,Node Expanded Decomp,Node Expanded Sub-P,Cost Decomp,Cost Sub-P,GT Cost,Items Keep
0,0,1,1,1,1,['all'],gpt-4o,0.0,exhousework,exhome,housework,home,7.796029329299927,3.17055606842041,7.234198570251465,2.1007699966430664,20.301553964614868,4,4,0.008712,11,99,0.016749,"[0.004829, 0.004552, 0.003671, 0.003697]",123,"[19, 27, 35, 42]",11,"[5, 2, 2, 2]",16,"('food', 'microwave', 'desk', 'water_bottle', 'eggs', 'egg_container')"
1,1,1,1,2,2,['all'],gpt-4o,0.0,exhousework,exhome,housework,home,7.100630760192871,0.7467329502105713,3.7053403854370117,2.639007329940796,14.19171142578125,4,4,0.006916,11,99,0.014383,"[0.004448, 0.003342, 0.003564, 0.003029]",123,"[19, 27, 35, 42]",11,"[5, 2, 2, 2]",16,"('food', 'microwave', 'desk', 'water_bottle', 'eggs', 'egg_container')"
